AON,DORMANCY_DAY_CNT,UC_TOT_RVN_AMT,VAS_TOT_RVN_AMT,SBRP_TOT_RVN_AMT,VOICE_SBRP_TOT_RVN_AMT,VOICE_TOT_ONNET_OG_RVN_AMT,VOICE_TOT_OFFNET_OG_RVN_AMT,VOICE_TOT_ISD_OG_RVN_AMT,INTERCONNECT_RVN,DATA_SBRP_TOT_RVN_AMT,DATA_UC_TOT_RVN_AMT,VOICE_OG_TOT_USG,VOICE_IC_TOT_USG,DATA_TOT_USG_MB,RVN_AMT,RCHRG_FLAG
1695,0,1392.83,0,6904.7619,1045.7142,360,1032.83,0,2118.4166,5859.0477,0,192.8666667,194.0833333,8067.691243,8516.6319,1
1695,0,968.35,0,2282.8572,0,324,249.9,0,477.1666,2282.8572,394.45,34.08333333,153.2,7434.80649,3251.2072,1
1695,0,49.98,0,0,0,0,49.98,0,0,0,0,1.3,0,0,49.98,0
1695,1,0,0,0,0,0,0,0,123.3333,0,0,0,5.066666667,0,0,0
1695,3,16.66,0,0,0,0,16.66,0,0,0,0,0.4,0,0,16.66,0
1695,0,242.58,0,0,0,18.66,223.92,0,0,0,0,8.35,4.35,0,242.58,0
1694,0,809.87,0,0,0,0,130.62,0,3,0,649.25,4.333333333,2.666666667,63.55156422,859.87,1
1694,0,188.33,0,0,0,180,8.33,0,119.75,0,0,13.66666667,13.11666667,0,188.33,0
1694,0,0,0,0,0,0,0,0,364.25,0,0,0,18.83333333,0,0,0
1694,0,1428.64,0,1419.048,1419.048,177.12,1251.52,0,2486.3334,0,0,167.2666667,178.6833333,0,2847.688,1
1694,0,6395.01,0,1807.619,0,5296.88,24.99,0,939.6667,1807.619,143.14,432.3333333,126.5333333,580.9868212,8202.629,1
1694,5,65.31,0,0,0,0,65.31,0,13,0,0,2.033333333,5.483333333,0,65.31,0
1694,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,0,1812.86,762,2711.4285,0,149.28,1063.62,0,332.8334,2711.4285,599.96,34.03333333,33.76666667,2716.402542,5361.2885,1
1694,0,2371.2,0,5710.476,0,74.64,774.53,0,580.0833,5710.476,1462.03,24.41666667,33.03333333,8510.670332,8138.816,1
1694,0,228.96,0,3567.6191,951.4286,24,99.96,0,802.1666,2616.1905,0,47.36666667,80.36666667,2907.602219,3796.5791,1
1694,0,765.06,0,1385.7143,0,0,765.06,0,30.3333,1385.7143,0,26.08333333,1.516666667,2739.71901,2150.7743,1
1694,3,139.95,0,0,0,0,139.95,0,190.0833,0,0,4.033333333,11.48333333,0,139.95,0
1694,0,1884.66,1157.14,0,0,289.23,1595.43,0,341.2498,0,0,57.08333333,28.01666667,136.6816654,3041.8,1
1694,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,0,555.63,0,0,0,44,91.63,0,668.1666,0,0,6.416666667,45.15,0,555.63,0
1694,0,2010.58,2675.5,3807.619,0,121.29,261.24,0,666.9999,3807.619,998.05,10.26666667,44.41666667,4161.184364,8493.699,1
1694,0,106.96,0,0,0,65.31,0,0,47.25,0,41.65,2.3,3.166666667,4.058304787,106.96,0
1694,0,0,0,0,0,0,0,0,217.0833,0,0,0,52.16666667,0.446141243,0,0
1694,0,1369.81,428.57,903.8095,0,363.87,988.98,0,1637.8335,903.8095,1.96,40.78333333,134.5666667,317.0138988,2702.1895,0
1694,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,0,0,0,0,0,0,0,0,261.5833,0,0,0,15.01666667,0,0,0
1694,0,2274.59,0,5669.5239,0,308,802.98,0,559.0001,5669.5239,1058.61,49.1,40.2,6236.267597,8160.5339,1
1694,0,1623,0,758.0952,0,12,544.37,0,45.3334,758.0952,91.63,20.78333333,4.633333333,387.8363962,2381.0952,1
1693,2,598.79,0,0,0,168,430.79,0,0,0,0,30.35,50.76666667,0,598.79,0
1693,9,0,0,0,0,0,0,0,6,0,0,0,0.3,0,0,0
1693,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693,0,795.56,0,0,0,136,599.56,0,319.0833,0,0,32.35,24.9,0,852.7,1
1693,5,89.64,0,0,0,0,74.64,0,66.75,0,0,2.35,4.45,0,89.64,0
1693,0,2457.82,728.57,2854.2858,2854.2858,1708,449.82,0,79.6666,0,0,732.1166667,228.1666667,0,6040.6758,0
1693,4,0,0,0,0,0,0,0,2.75,0,0,0,0.183333333,0,0,0
1693,0,290.56,0,0,0,24,266.56,0,103.5001,0,0,10.63333333,37.16666667,0,290.56,0
1693,0,757.37,342.86,760.9524,0,382.53,143.08,0,467,760.9524,231.76,17.13333333,47.1,631.2754536,1861.1824,1
1693,0,2407.44,0,951.4286,0,531.81,681.09,0,427.5,951.4286,1194.54,36.23333333,53.43333333,1613.658196,3416.0086,1
1693,0,3450.08,0,4340.0001,2285.7144,566.73,1318.16,0,247.6667,2054.2857,1565.19,286.25,129.1666667,2318.042375,8075.7801,1
1693,0,767.95,0,709.524,709.524,621.93,26.02,0,80.5834,0,0,84.05,26.78333333,0,1591.754,1
1693,0,6067.97,0,0,0,2090.9,3534.19,0,659.2499,0,337.88,189.9,106.2666667,33.01774025,6182.25,1
1693,0,3251.12,0,1159.0476,0,466.52,429.18,0,26.6667,1159.0476,2355.42,27.61666667,12.6,1480.188596,4795.8676,1
1692,0,426.84,2146.93,6325.7143,94.2857,12,149.94,0,55,6231.4286,249.9,5.4,3.083333333,6129.431962,8899.4843,1
1692,1,0,0,0,0,0,0,0,443.5,0,0,0,33.26666667,0.006363869,0,0
1692,0,4088,857.14,0,0,560,1524.39,0,145.6667,0,2003.61,94.06666667,64.31666667,197.0149632,4945.14,1
1692,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,0,1614.07,0,0,0,46.65,1567.42,0,249.6667,0,0,53.73333333,12.86666667,0,1614.07,1
1692,0,161.97,0,0,0,72,74.97,0,165,0,0,7.316666667,23.11666667,0,161.97,0
1692,1,196.22,428.57,0,0,60,124.95,0,5.0845,0,11.27,15.26666667,1.2,1.079530716,624.79,1
1692,0,225.37,0,0,0,0,214.59,0,1421.9166,0,10.78,6.833333333,81.78333333,0.026306152,225.37,0
1692,3,9.33,0,0,0,9.33,0,0,22.3333,0,0,0.216666667,2.866666667,0,9.33,0
1692,0,0,0,2474.2858,0,0,0,0,0,2474.2858,0,0.616666667,1.616666667,1580.805856,2474.2858,1
1692,7,0,0,0,0,0,0,0,7,0,0,0,0.466666667,0,0,0
1692,0,0,0,0,0,0,0,0,22.5,0,0,0,2.516666667,0,0,0
1691,1,1179.47,0,0,0,296,874.65,0,891.8333,0,8.82,52.68333333,70.95,0.839404106,1179.47,0
1691,0,969.62,2655.46,3805.7144,0,503.12,466.5,0,229.1666,3805.7144,0,31.06666667,14.15,3545.909802,7430.7944,1
1691,0,517.48,0,618.0952,618.0952,446.5,55.98,0,120,0,0,25.83333333,33.8,0,1135.5752,1
1691,0,2816.37,0,952.381,0,46.65,2612.4,0,1412.3334,952.381,82.32,90.13333333,93.13333333,180.2057476,3768.751,0
1691,4,0,0,0,0,0,0,0,18,0,0,0,7.816666667,0,0,0
1691,0,867.69,0,0,0,634.44,233.25,0,0,0,0,28.35,6.433333333,0,867.69,1
1691,0,17.68,385.72,1902.8572,951.4286,12,0,0,620.3334,951.4286,5.68,23.85,61.9,17.36183167,2306.2572,1
1691,4,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0
1691,0,637.62,600,958.0953,806.6667,37.32,340.6,0,474.6667,151.4286,259.7,63.86666667,45.35,95.13704395,2252.8553,1
1691,0,0,0,0,0,0,0,0,385.25,0,0,0,27.75,0.024882317,0,0
1691,0,44,0,0,0,44,0,0,26.5,0,0,2.566666667,66.66666667,0,44,0
1690,1,2778.32,0,0,0,24,74.97,0,196,0,1869.35,19.1,20.63333333,2022.821993,2835.46,1
1690,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,0,102.63,0,0,0,102.63,0,0,0,0,0,1.9,1.133333333,0,102.63,0
